Année,Statut,Catégorie,Sous-catégorie,Détails,Montant
2011,Réalisé,Ressources budgétaires,Recettes fiscales,DGI ,863.8
2011,Réalisé,Ressources budgétaires,Recettes fiscales,TRESOR,3
2011,Réalisé,Ressources budgétaires,Recettes fiscales,"DGD (hors PCS, PCC et SGS)",611.4
2011,Réalisé,Ressources budgétaires,Autres ressources intérieures,Privatisation et ventes d'actifs,0
2011,Réalisé,Ressources budgétaires,Autres ressources intérieures,Transfert des entreprises/dette rétrocédée,0.698
2011,Réalisé,Ressources budgétaires,Autres ressources intérieures,Autres recettes non fiscales ,48.96803295
2011,Réalisé,Ressources budgétaires,Autres ressources intérieures,Intégration de ressources additionnelles C2D,6.19
2011,Réalisé,Ressources budgétaires,Autres ressources intérieures,Arriérés dividendes PETROCI
2011,Réalisé,Ressources budgétaires,Emprunts sur marchés monetaire et financier,,780.945
2011,Réalisé,Ressources budgétaires,Ressources extérieures,Appuis budgétaires,463.85900000000004
2011,Réalisé,Ressources budgétaires,Ressources extérieures,Financement extérieur des projets,113.638
2011,Réalisé,Ressources budgétaires,Ressources extérieures,Restructuration de dettes,248.557
2011,Réalisé,Ressources budgétaires,Recettes des comptes spéciaux du Trésor,Fonds d'Investissements en Milieu Rural (FIMR) 
2011,Réalisé,Ressources budgétaires,Recettes des comptes spéciaux du Trésor,Transfert au Fonds d'Entretien Routier (FER)
2011,Réalisé,Ressources budgétaires,Recettes des comptes spéciaux du Trésor,Recettes affectées aux collectivités
2011,Réalisé,Ressources budgétaires,Recettes des comptes spéciaux du Trésor,TSU SIR
2011,Réalisé,Ressources budgétaires,Recettes des comptes spéciaux du Trésor,Autres recettes affectées et parafiscalité
2012,Réalisé,Ressources budgétaires,Recettes fiscales,DGI ,1156.9
2012,Réalisé,Ressources budgétaires,Recettes fiscales,TRESOR,6.4
2012,Réalisé,Ressources budgétaires,Recettes fiscales,"DGD (hors PCS, PCC et SGS)",888.8
2012,Réalisé,Ressources budgétaires,Autres ressources intérieures,Privatisation et ventes d'actifs,0
