Année,Catégorie,Effectif
2011,Passagers par voie aériennne,646942
2012,Passagers par voie aériennne,961643
2013,Passagers par voie aériennne,1178362
2014,Passagers par voie aériennne,1300379
2015,Passagers par voie aériennne,1572753
2016,Passagers par voie aériennne,1829049
2017,Passagers par voie aériennne,2069366
2018,Passagers par voie aériennne,2187868
2019,Passagers par voie aériennne,2271700
2020,Passagers par voie aériennne,935130
2011,Passagers par voie maritime (SOTRA)
2012,Passagers par voie maritime (SOTRA)
2013,Passagers par voie maritime (SOTRA)
2014,Passagers par voie maritime (SOTRA)
2015,Passagers par voie maritime (SOTRA),5334000
2016,Passagers par voie maritime (SOTRA),7396000
2017,Passagers par voie maritime (SOTRA),5921000
2018,Passagers par voie maritime (SOTRA),5911000
2019,Passagers par voie maritime (SOTRA),5268000
2020,Passagers par voie maritime (SOTRA)
2011,Passagers par voie ferroviaire,111058
2012,Passagers par voie ferroviaire,272963
2013,Passagers par voie ferroviaire,292818
2014,Passagers par voie ferroviaire,170738
2015,Passagers par voie ferroviaire,168410
2016,Passagers par voie ferroviaire
2017,Passagers par voie ferroviaire,139300
2018,Passagers par voie ferroviaire,124700
2019,Passagers par voie ferroviaire,107800
2020,Passagers par voie ferroviaire
2011,Passagers par voie routière (SOTRA)
2012,Passagers par voie routière (SOTRA)
2013,Passagers par voie routière (SOTRA)
2014,Passagers par voie routière (SOTRA)
2015,Passagers par voie routière (SOTRA),108973000
2016,Passagers par voie routière (SOTRA),84718000
2017,Passagers par voie routière (SOTRA),87118000
2018,Passagers par voie routière (SOTRA),129217000
2019,Passagers par voie routière (SOTRA),207178000
2020,Passagers par voie routière (SOTRA)
