geometry,@id,Catégorie,Lieu,id
"{""type"":""Polygon"",""coordinates"":[[[-4.023813,5.3315824],[-4.0238512,5.3315828],[-4.0238662,5.3307031],[-4.023568,5.3306997],[-4.023554,5.3315765],[-4.023813,5.3315824]]]}",way/295528558,Gare SOTRA,Gare Cité Administrative,way/295528558
"{""type"":""Polygon"",""coordinates"":[[[-3.9842914,5.3087574],[-3.9837823,5.3084773],[-3.9837081,5.3086228],[-3.9834719,5.3084911],[-3.983465,5.3089816],[-3.983999,5.3093032],[-3.9840752,5.3091611],[-3.9841252,5.3090677],[-3.984139,5.3090418],[-3.9842914,5.3087574]]]}",way/331797730,Gare SOTRA,Gare Marcory,way/331797730
"{""type"":""Polygon"",""coordinates"":[[[-4.0191482,5.3139479],[-4.018934,5.3139582],[-4.0187381,5.3139844],[-4.0185628,5.3140175],[-4.0183944,5.3140665],[-4.0182352,5.3141304],[-4.0180565,5.3142194],[-4.017974,5.3142695],[-4.0181184,5.314411],[-4.018029,5.3145079],[-4.0179156,5.3144247],[-4.0178595,5.3144178],[-4.0178079,5.3144224],[-4.0177747,5.3144463],[-4.0177449,5.3144783],[-4.0177323,5.3145285],[-4.017738,5.3145844],[-4.0178672,5.314828],[-4.0179441,5.3149137],[-4.0180095,5.3149767],[-4.0181184,5.3150372],[-4.0184693,5.3151654],[-4.0186429,5.3152242],[-4.0190382,5.3153611],[-4.0191488,5.3153967],[-4.0191695,5.3152998],[-4.0193097,5.3145912],[-4.0193088,5.3145639],[-4.0192825,5.31403],[-4.019257,5.3139855],[-4.019233,5.3139673],[-4.019194,5.3139513],[-4.0191482,5.3139479]]]}",way/334697705,Gare SOTRA,Gare-Sud,way/334697705
"{""type"":""Polygon"",""coordinates"":[[[-4.0280638,5.3594142],[-4.0280696,5.3593439],[-4.0281123,5.3592927],[-4.0282799,5.3592224],[-4.0282676,5.3589291],[-4.0281681,5.3586992],[-4.0280447,5.3583226],[-4.0279173,5.3580056],[-4.02777,5.3577122],[-4.027563,5.3575577],[-4.0273758,5.3574863],[-4.0271967,5.3574507],[-4.0270773,5.3576805],[-4.0268862,5.3581086],[-4.0268221,5.3583852],[-4.0268304,5.3585204],[-4.0268384,5.358719],[-4.0269006,5.3588987],[-4.02695,5.3590197],[-4.027254,5.359398],[-4.0273905,5.3595679],[-4.0276227,5.3595913],[-4.0280638,5.3594142]]]}",way/393063688,Gare SOTRA,Gare Nord SOTRA - Adjamé,way/393063688
"{""type"":""Polygon"",""coordinates"":[[[-4.0154761,5.435856],[-4.0154544,5.435109],[-4.0151515,5.4351177],[-4.0151562,5.4352788],[-4.0150079,5.4352831],[-4.015025,5.435869],[-4.0154761,5.435856]]]}",way/690076852,Gare SOTRA,Gare SOTRA Abobo Sogefiha,way/690076852
"{""type"":""Polygon"",""coordinates"":[[[-4.0738986,5.3299416],[-4.0741655,5.3296826],[-4.073786,5.3292994],[-4.0735205,5.3295557],[-4.0738986,5.3299416]]]}",way/745686306,Gare SOTRA,Gare Yopougon Kouté,way/745686306
"{""type"":""Point"",""coordinates"":[-4.0892201,5.3164002]}",node/768587345,Arrêt de bus,Terminus 27 Niangon Sud a Gauche,node/768587345
"{""type"":""Point"",""coordinates"":[-4.0803926,5.3198813]}",node/768587373,Arrêt de bus,Pharmacie St Martin,node/768587373
"{""type"":""Point"",""coordinates"":[-3.9578221,5.3309392]}",node/775786985,Arrêt de bus,Ex Terminus Sotra;Carrefour Sol Beni,node/775786985
"{""type"":""Point"",""coordinates"":[-4.0171229,5.3608351]}",node/2381298633,Arrêt de bus,Agban Gendarmerie,node/2381298633
"{""type"":""Point"",""coordinates"":[-4.0182667,5.344239]}",node/2444131222,Arrêt de bus,Fraternite Matin,node/2444131222
"{""type"":""Point"",""coordinates"":[-4.0732826,5.3423405]}",node/2460519991,Arrêt de bus,Terminus Saint Andre,node/2460519991
"{""type"":""Point"",""coordinates"":[-3.9773022,5.3068867]}",node/2476303039,Arrêt de bus,Arrêt de bus (03-31),node/2476303039
"{""type"":""Point"",""coordinates"":[-4.0238611,5.3413464]}",node/2493226931,Arrêt de bus,Mission Libanaise Adjame,node/2493226931
"{""type"":""Point"",""coordinates"":[-3.9551669,5.2942027]}",node/2493730483,Arrêt de bus,Gare Koumassi,node/2493730483
"{""type"":""Point"",""coordinates"":[-3.9998706,5.4072226]}",node/2578019447,Arrêt de bus,Gare de Woro-Woro d’Abobo,node/2578019447
"{""type"":""Point"",""coordinates"":[-3.9451593,5.3121054]}",node/2760843854,Arrêt de bus,Terminus 56 Koumassi Nord-Est,node/2760843854
"{""type"":""Point"",""coordinates"":[-4.016554,5.3538554]}",node/2902894063,Arrêt de bus,Gare de wôrô-wôrô de Williamsville,node/2902894063
"{""type"":""Point"",""coordinates"":[-4.0832298,5.3396167]}",node/2948146673,Arrêt de bus,Terminus 47 Yopougon Attie,node/2948146673
"{""type"":""Point"",""coordinates"":[-4.0912463,5.3396157]}",node/3067761599,Arrêt de bus,Carrefour Obama,node/3067761599
"{""type"":""Point"",""coordinates"":[-4.0973501,5.3400523]}",node/3067766555,Arrêt de bus,Mosquee Maroc,node/3067766555
"{""type"":""Point"",""coordinates"":[-4.0738295,5.3423254]}",node/3075945505,Arrêt de bus,Paroisse St Andre,node/3075945505
"{""type"":""Point"",""coordinates"":[-4.0668084,5.3427541]}",node/3137208051,Arrêt de bus,Mairie Selmer,node/3137208051
"{""type"":""Point"",""coordinates"":[-4.0709484,5.3436761]}",node/3137217828,Arrêt de bus,Lycee Williams Ponty,node/3137217828
"{""type"":""Point"",""coordinates"":[-4.0679411,5.3446768]}",node/3137243386,Arrêt de bus,Mairie Selmer Yopougon,node/3137243386
"{""type"":""Point"",""coordinates"":[-3.979568,5.3531115]}",node/3145728412,Arrêt de bus,Carrefour Riviera 2,node/3145728412
"{""type"":""Point"",""coordinates"":[-3.9487192,5.3117002]}",node/3218806159,Arrêt de bus,Ancien Terminus 32,node/3218806159
"{""type"":""Point"",""coordinates"":[-4.0037743,5.3368705]}",node/3326195828,Arrêt de bus,Cite Rouge Cocody,node/3326195828
"{""type"":""Point"",""coordinates"":[-3.9691935,5.2892377]}",node/3396926870,Arrêt de bus,Wôrô-wôrô,node/3396926870
"{""type"":""Point"",""coordinates"":[-3.9901615,5.345805]}",node/3605638544,Arrêt de bus,Arrêt de bus électriques- Université,node/3605638544
"{""type"":""Point"",""coordinates"":[-4.0884501,5.3470567]}",node/3666057101,Arrêt de bus,Pharmacie Port-Bouet 2,node/3666057101
"{""type"":""Point"",""coordinates"":[-4.0734515,5.3493487]}",node/3950172145,Arrêt de bus,Ficgayo,node/3950172145
"{""type"":""Point"",""coordinates"":[-3.9973725,5.3616655]}",node/4029208102,Arrêt de bus,ENA,node/4029208102
"{""type"":""Point"",""coordinates"":[-3.9668949,5.276244]}",node/4107240493,Arrêt de bus,Gare de Wôrô Wôrô,node/4107240493
"{""type"":""Point"",""coordinates"":[-3.9787018,5.2742845]}",node/4107240891,Arrêt de bus,Pressing Bietry,node/4107240891
