CODE TYPE D'IND.,LIBELLE TYPE D'INDUSTRIES NAEMA REV1 ,Période,Indice
05-09,INDUSTRIES EXTRACTIVES,2021-03-01,131.2
05-09,INDUSTRIES EXTRACTIVES,2021-04-01,100.9
05-09,INDUSTRIES EXTRACTIVES,2021-05-01,130.7
05-09,INDUSTRIES EXTRACTIVES,2021-06-01,154.4
05-09,INDUSTRIES EXTRACTIVES,2021-07-01,138.5
05-09,INDUSTRIES EXTRACTIVES,2021-08-01,124.5
05-09,INDUSTRIES EXTRACTIVES,2021-09-01,144.3
05-09,INDUSTRIES EXTRACTIVES,2021-10-01,87.8
05-09,INDUSTRIES EXTRACTIVES,2021-11-01,178.9
05-09,INDUSTRIES EXTRACTIVES,2021-12-01,148.2
05-09,INDUSTRIES EXTRACTIVES,2022-01-01,127.9
05-09,INDUSTRIES EXTRACTIVES,2022-02-01,167.9
05-09,INDUSTRIES EXTRACTIVES,2022-03-01,150
10-33,INDUSTRIES MANUFACTURIÈRES,2021-03-01,147
10-33,INDUSTRIES MANUFACTURIÈRES,2021-04-01,138.1
10-33,INDUSTRIES MANUFACTURIÈRES,2021-05-01,124.7
10-33,INDUSTRIES MANUFACTURIÈRES,2021-06-01,132.6
10-33,INDUSTRIES MANUFACTURIÈRES,2021-07-01,140
10-33,INDUSTRIES MANUFACTURIÈRES,2021-08-01,133.7
10-33,INDUSTRIES MANUFACTURIÈRES,2021-09-01,142.9
10-33,INDUSTRIES MANUFACTURIÈRES,2021-10-01,138.2
10-33,INDUSTRIES MANUFACTURIÈRES,2021-11-01,152.9
10-33,INDUSTRIES MANUFACTURIÈRES,2021-12-01,173.3
10-33,INDUSTRIES MANUFACTURIÈRES,2022-01-01,142.5
10-33,INDUSTRIES MANUFACTURIÈRES,2022-02-01,157.1
10-33,INDUSTRIES MANUFACTURIÈRES,2022-03-01,179.1
35-36,"INDUSTRIES DE PRODUCTION ET DE DISTRIBUTION D’ÉLECTRICITÉ, DE GAZ ET D’EAU",2021-03-01,137.3
35-36,"INDUSTRIES DE PRODUCTION ET DE DISTRIBUTION D’ÉLECTRICITÉ, DE GAZ ET D’EAU",2021-04-01,126.7
35-36,"INDUSTRIES DE PRODUCTION ET DE DISTRIBUTION D’ÉLECTRICITÉ, DE GAZ ET D’EAU",2021-05-01,117.2
35-36,"INDUSTRIES DE PRODUCTION ET DE DISTRIBUTION D’ÉLECTRICITÉ, DE GAZ ET D’EAU",2021-06-01,113.7
35-36,"INDUSTRIES DE PRODUCTION ET DE DISTRIBUTION D’ÉLECTRICITÉ, DE GAZ ET D’EAU",2021-07-01,134.5
35-36,"INDUSTRIES DE PRODUCTION ET DE DISTRIBUTION D’ÉLECTRICITÉ, DE GAZ ET D’EAU",2021-08-01,136
35-36,"INDUSTRIES DE PRODUCTION ET DE DISTRIBUTION D’ÉLECTRICITÉ, DE GAZ ET D’EAU",2021-09-01,139.5
35-36,"INDUSTRIES DE PRODUCTION ET DE DISTRIBUTION D’ÉLECTRICITÉ, DE GAZ ET D’EAU",2021-10-01,148.3
35-36,"INDUSTRIES DE PRODUCTION ET DE DISTRIBUTION D’ÉLECTRICITÉ, DE GAZ ET D’EAU",2021-11-01,145.3
35-36,"INDUSTRIES DE PRODUCTION ET DE DISTRIBUTION D’ÉLECTRICITÉ, DE GAZ ET D’EAU",2021-12-01,148.3
35-36,"INDUSTRIES DE PRODUCTION ET DE DISTRIBUTION D’ÉLECTRICITÉ, DE GAZ ET D’EAU",2022-01-01,150.4
35-36,"INDUSTRIES DE PRODUCTION ET DE DISTRIBUTION D’ÉLECTRICITÉ, DE GAZ ET D’EAU",2022-02-01,140.7
35-36,"INDUSTRIES DE PRODUCTION ET DE DISTRIBUTION D’ÉLECTRICITÉ, DE GAZ ET D’EAU",2022-03-01,152.7
37-39,INDUSTRIES ENVIRONNEMENTALES,2021-03-01,278.6
37-39,INDUSTRIES ENVIRONNEMENTALES,2021-04-01,274.4
37-39,INDUSTRIES ENVIRONNEMENTALES,2021-05-01,272.7
37-39,INDUSTRIES ENVIRONNEMENTALES,2021-06-01,283.8
37-39,INDUSTRIES ENVIRONNEMENTALES,2021-07-01,286.2
37-39,INDUSTRIES ENVIRONNEMENTALES,2021-08-01,272.9
37-39,INDUSTRIES ENVIRONNEMENTALES,2021-09-01,284
37-39,INDUSTRIES ENVIRONNEMENTALES,2021-10-01,296.8
37-39,INDUSTRIES ENVIRONNEMENTALES,2021-11-01,290.1
37-39,INDUSTRIES ENVIRONNEMENTALES,2021-12-01,300.9
37-39,INDUSTRIES ENVIRONNEMENTALES,2022-01-01,274.8
37-39,INDUSTRIES ENVIRONNEMENTALES,2022-02-01,252.5
37-39,INDUSTRIES ENVIRONNEMENTALES,2022-03-01,275.3
10-12,INDUSTRIES AGRO-ALIMENTAIRES,2021-03-01,151
10-12,INDUSTRIES AGRO-ALIMENTAIRES,2021-04-01,120.6
10-12,INDUSTRIES AGRO-ALIMENTAIRES,2021-05-01,98.5
10-12,INDUSTRIES AGRO-ALIMENTAIRES,2021-06-01,101.1
10-12,INDUSTRIES AGRO-ALIMENTAIRES,2021-07-01,119.8
10-12,INDUSTRIES AGRO-ALIMENTAIRES,2021-08-01,111.3
10-12,INDUSTRIES AGRO-ALIMENTAIRES,2021-09-01,120.7
10-12,INDUSTRIES AGRO-ALIMENTAIRES,2021-10-01,101.9
10-12,INDUSTRIES AGRO-ALIMENTAIRES,2021-11-01,112.9
10-12,INDUSTRIES AGRO-ALIMENTAIRES,2021-12-01,119
10-12,INDUSTRIES AGRO-ALIMENTAIRES,2022-01-01,114.6
10-12,INDUSTRIES AGRO-ALIMENTAIRES,2022-02-01,133.5
10-12,INDUSTRIES AGRO-ALIMENTAIRES,2022-03-01,149.1
13-14,INDUSTRIES TEXTILES ET D’HABILLEMENT,2021-03-01,123
