REGION,CHEF-LIEU,DEPARTEMENT,SOUS-PREFECTURE,COMMUNE
LAGUNES,ABIDJAN,ABIDJAN,Abidjan,Abobo
LAGUNES,ABIDJAN,ABIDJAN,Abidjan,Adjamé
LAGUNES,ABIDJAN,ABIDJAN,Abidjan,Attecoubé
LAGUNES,ABIDJAN,ABIDJAN,Abidjan,Cocody
LAGUNES,ABIDJAN,ABIDJAN,Abidjan,Koumassi
LAGUNES,ABIDJAN,ABIDJAN,Abidjan,Marcory
LAGUNES,ABIDJAN,ABIDJAN,Abidjan,Plateau
LAGUNES,ABIDJAN,ABIDJAN,Abidjan,Port-Bouët
LAGUNES,ABIDJAN,ABIDJAN,Abidjan,Treichville
LAGUNES,ABIDJAN,ABIDJAN,Abidjan,Yopougon
LAGUNES,ABIDJAN,ABIDJAN,Anyama,Anyama
LAGUNES,ABIDJAN,ABIDJAN,Bingervile,Bingerville
LAGUNES,ABIDJAN,ABIDJAN,Songon,Songon
LAGUNES,ABIDJAN,ALEPE,Alepe,Alépé
LAGUNES,ABIDJAN,ALEPE,Oghwyapo
LAGUNES,ABIDJAN,DABOU,Dabou,Dabou
LAGUNES,ABIDJAN,DABOU,Sikensi,Sikensi
LAGUNES,ABIDJAN,GRAND-LAHOU,Grand-Lahou,Grand-Lahou
LAGUNES,ABIDJAN,JACQUEVILLE,Jacqueville,Jacqueville
LAGUNES,ABIDJAN,TIASSALE,Tiassale,Tiassalé
LAGUNES,ABIDJAN,TIASSALE,Taabo,Taabo
SAVANES,KORHOGO,BOUNDIALI,Dikodougou,Dikodougou
SAVANES,KORHOGO,BOUNDIALI,Guiembe,Guiembé
SAVANES,KORHOGO,BOUNDIALI,Karakoro,Karakoro
SAVANES,KORHOGO,BOUNDIALI,Korhogo,Korhogo
SAVANES,KORHOGO,BOUNDIALI,Komborodougou,Komborodougou
SAVANES,KORHOGO,BOUNDIALI,M'bengue,M'bengué
SAVANES,KORHOGO,BOUNDIALI,Napieledougou,Napiélédougou
SAVANES,KORHOGO,BOUNDIALI,Niofoin,Niofoin
SAVANES,KORHOGO,BOUNDIALI,Tioroniaradougou,Tioroniaradougou
SAVANES,KORHOGO,BOUNDIALI,Sinematiali,Sinematiali
SAVANES,KORHOGO,BOUNDIALI,Sirasso,Sirasso
SAVANES,KORHOGO,BOUNDIALI,Gbon,Gbon
SAVANES,KORHOGO,BOUNDIALI,Boundiali,Boundiali
SAVANES,KORHOGO,BOUNDIALI,Kassere,Kasséré
SAVANES,KORHOGO,BOUNDIALI,Kolia,Kolia
SAVANES,KORHOGO,BOUNDIALI,Kouto,Kouto
SAVANES,KORHOGO,FERKESSEDOUGOU,Diawala,Diawala
SAVANES,KORHOGO,FERKESSEDOUGOU,Ferkessedougou,Ferkessedougou
SAVANES,KORHOGO,FERKESSEDOUGOU,Kong,Kong
SAVANES,KORHOGO,FERKESSEDOUGOU,Koumbala,Koumbala
SAVANES,KORHOGO,FERKESSEDOUGOU,Nielle,Niellé
SAVANES,KORHOGO,FERKESSEDOUGOU,Ouangolodougou,Ouangolodougou
SAVANES,KORHOGO,TENGRELA,Kanakono,Kanakono
SAVANES,KORHOGO,TENGRELA,Tengrela,Tengréla
SUD-COMOE,ABOISSO,ABOISSO,Aboisso,Aboisso
SUD-COMOE,ABOISSO,ABOISSO,Ayame,Ayamé
SUD-COMOE,ABOISSO,ABOISSO,Bianouan
SUD-COMOE,ABOISSO,ABOISSO,Mafere,Maféré
SUD-COMOE,ABOISSO,ABOISSO,Tiapoum,Tiapoum
SUD-COMOE,ABOISSO,  ADIAKE,Adiake,Adiaké
SUD-COMOE,ABOISSO,  ADIAKE,Assinie-mafia
SUD-COMOE,ABOISSO,  ADIAKE,Etueboue,Etuéboué
SUD-COMOE,ABOISSO,GRAND-BASSAM,Grand-bassam,Grand-Bassam
SUD-COMOE,ABOISSO,GRAND-BASSAM,Bonoua,Bonoua
HAUT-SASSANDRA,DALOA,DALOA,Bediala,Bediala
HAUT-SASSANDRA,DALOA,DALOA,Daloa,Daloa
HAUT-SASSANDRA,DALOA,DALOA,Gadouan
HAUT-SASSANDRA,DALOA,DALOA,Gboguhe,Gboguhé
HAUT-SASSANDRA,DALOA,DALOA,Zaïbo
HAUT-SASSANDRA,DALOA,DALOA,Zoukougbeu,Zoukougbeu
HAUT-SASSANDRA,DALOA,  ISSIA,Boguedia
HAUT-SASSANDRA,DALOA,  ISSIA,Iboguhe
HAUT-SASSANDRA,DALOA,  ISSIA,Issia,Issia
HAUT-SASSANDRA,DALOA,  ISSIA,Saïoua,Saïoua
HAUT-SASSANDRA,DALOA,  VAVOUA,Dania
HAUT-SASSANDRA,DALOA,  VAVOUA,Seitifla
HAUT-SASSANDRA,DALOA,  VAVOUA,Vavoua,Vavoua
AGNEBY,AGBOVILLE,AGBOVILLE,Agboville,Agboville
AGNEBY,AGBOVILLE,AGBOVILLE,Azaguie,Azaguié
AGNEBY,AGBOVILLE,AGBOVILLE,Cechi
AGNEBY,AGBOVILLE,AGBOVILLE,Grand morie
AGNEBY,AGBOVILLE,AGBOVILLE,Oress-krobou
AGNEBY,AGBOVILLE,AGBOVILLE,Rubino,Rubino
AGNEBY,AGBOVILLE,  ADZOPE,Adzope,Adzopé
AGNEBY,AGBOVILLE,  ADZOPE,Agou,Agou
AGNEBY,AGBOVILLE,  ADZOPE,Affery,Afféry
AGNEBY,AGBOVILLE,  ADZOPE,Becedi-brignan
AGNEBY,AGBOVILLE,  ADZOPE,Akoupe,Akoupé
AGNEBY,AGBOVILLE,  ADZOPE,Assikoi
AGNEBY,AGBOVILLE,  ADZOPE,Yakasse-attobrou,Yakassé-Attobrou
MOYEN COMOE  ,ABENGOUROU,ABENGOUROU,Abengourou,Abengourou
MOYEN COMOE  ,ABENGOUROU,ABENGOUROU,Bettie,Bettié
MOYEN COMOE  ,ABENGOUROU,ABENGOUROU,Niable,Niablé
MOYEN COMOE  ,ABENGOUROU,AGNIBILEKROU,Agnibilekrou,Agnibilékrou
VALLEE DU BANDAMA,BOUAKE,BOUAKE,Diabo,Diabo
VALLEE DU BANDAMA,BOUAKE,BOUAKE,Djebonoua,Djebonoua
VALLEE DU BANDAMA,BOUAKE,BOUAKE,Brobo,Brobo
VALLEE DU BANDAMA,BOUAKE,BOUAKE,Botro,Botro
VALLEE DU BANDAMA,BOUAKE,BOUAKE,Bouake,Bouaké
VALLEE DU BANDAMA,BOUAKE,BOUAKE,Languibonou
VALLEE DU BANDAMA,BOUAKE,BEOUMI,Beoumi,Beoumi
VALLEE DU BANDAMA,BOUAKE,BEOUMI,Bodokro,Bodokro
VALLEE DU BANDAMA,BOUAKE,BEOUMI,Ando-kekrenou
VALLEE DU BANDAMA,BOUAKE,BEOUMI,Kondrobo
VALLEE DU BANDAMA,BOUAKE,DABAKALA,Bassawa,Bassawa
VALLEE DU BANDAMA,BOUAKE,DABAKALA,Bonieredougou,Bonieredougou
VALLEE DU BANDAMA,BOUAKE,DABAKALA,Dabakala,Dabakala
VALLEE DU BANDAMA,BOUAKE,DABAKALA,Foumbolo,Foumbolo
VALLEE DU BANDAMA,BOUAKE,DABAKALA,Satama-sokoro,Satama-Sokoro
VALLEE DU BANDAMA,BOUAKE,DABAKALA,Satama-sokouro,Satama-Sokouro
VALLEE DU BANDAMA,BOUAKE,KATIOLA,Fronan,Fronan
VALLEE DU BANDAMA,BOUAKE,KATIOLA,Katiola,Katiola
VALLEE DU BANDAMA,BOUAKE,KATIOLA,Niakaramandougou,Niakaramandougou
VALLEE DU BANDAMA,BOUAKE,KATIOLA,Tafire,Tafiré
VALLEE DU BANDAMA,BOUAKE,KATIOLA,Tortiya,Tortiya
VALLEE DU BANDAMA,BOUAKE,KATIOLA,Timbe
VALLEE DU BANDAMA,BOUAKE,SAKASSOU,Sakassou,Sakassou
VALLEE DU BANDAMA,BOUAKE,SAKASSOU,Tomoudi-sakassou
MONTAGNES,MAN,MAN,Man,Man
MONTAGNES,MAN,MAN,Facobly,Facobly
MONTAGNES,MAN,MAN,Kouibly,Kouibly
MONTAGNES,MAN,MAN,Logouale,Logoualé
MONTAGNES,MAN,MAN,Sangouine,Sangouiné
MONTAGNES,MAN,MAN,Semien
MONTAGNES,MAN,MAN,Niadrou
MONTAGNES,MAN,MAN,Totrodrou
MONTAGNES,MAN,BANGOLO,Bangolo,Bangolo
MONTAGNES,MAN,BANGOLO,Dieouzon
MONTAGNES,MAN,BANGOLO,Zeo
