REGION,POPULATION,CIV CODE REGION
Agneby-Tiassa,865953,CIV013002
Bafing,262849,CIV005002
Bagoue,515892,CIV001001
Belier,415592,CIV007002
Bere,492151,CIV005001
Bounkani,427035,CIV003001
Cavally,708242,CIV006003
District Autonome D'Abidjan,6321017,CIV014001
District Autonome De Yamoussoukro,422072,CIV010001
Folon,146211,CIV002001
Gbeke,1352900,CIV004002
Gbokle,460981,CIV012003
Goh,985284,CIV011001
Gontougo,917833,CIV003002
Grands Ponts,450006,CIV013003
Guemon,930871,CIV006002
Hambol,612030,CIV004001
Haut-Sassandra,1739694,CIV008001
Iffou,378558,CIV007001
Indenie-Djuablin,716443,CIV009001
Kabadougou,289805,CIV002002
Loh-Djiboua,1103158,CIV011002
Marahoue,981179,CIV008002
Me,726667,CIV013001
Moronou,439755,CIV007004
Nawa,1165472,CIV012001
NZi,254625,CIV007003
Poro,1040458,CIV001002
San Pedro,1060723,CIV012002
Sud-Comoe,784892,CIV009002
Tchologo,603082,CIV001003
Tonkpi,1387908,CIV006001
Worodougou,429812,CIV005003
