Année,Catégorie,Effectif
2011,Trafic global (tonnes) au Port Autonome d’Abidjan (PAA)
2012,Trafic global (tonnes) au Port Autonome d’Abidjan (PAA),21713810
2013,Trafic global (tonnes) au Port Autonome d’Abidjan (PAA),21476565
2014,Trafic global (tonnes) au Port Autonome d’Abidjan (PAA),20812952
2015,Trafic global (tonnes) au Port Autonome d’Abidjan (PAA),21926247
2016,Trafic global (tonnes) au Port Autonome d’Abidjan (PAA),21734476
2017,Trafic global (tonnes) au Port Autonome d’Abidjan (PAA),22556809
2018,Trafic global (tonnes) au Port Autonome d’Abidjan (PAA),24177261
2019,Trafic global (tonnes) au Port Autonome d’Abidjan (PAA),25738345
2020,Trafic global (tonnes) au Port Autonome d’Abidjan (PAA),25350923
2011,Trafic global (tonnes) au Port Autonome de San Pedro (PASP)
2012,Trafic global (tonnes) au Port Autonome de San Pedro (PASP),3230398
2013,Trafic global (tonnes) au Port Autonome de San Pedro (PASP),4325665
2014,Trafic global (tonnes) au Port Autonome de San Pedro (PASP),4737779
2015,Trafic global (tonnes) au Port Autonome de San Pedro (PASP),4851390
2016,Trafic global (tonnes) au Port Autonome de San Pedro (PASP),4612105
2017,Trafic global (tonnes) au Port Autonome de San Pedro (PASP),4530649
2018,Trafic global (tonnes) au Port Autonome de San Pedro (PASP),4081163
2019,Trafic global (tonnes) au Port Autonome de San Pedro (PASP),5065685
2020,Trafic global (tonnes) au Port Autonome de San Pedro (PASP),4755833
