Année,Matière,Catégorie,Sous-catégorie,Statut,Valeur
2003,Bois,PRODUCTION,Bois de grume,Quantité (1000 X m3),1800
2003,Bois,PRODUCTION,Bois de grume transformé,Quantité (1000 X m3),771
2003,Bois,CONSOMMATION,Charbon de bois,Quantité (1000 X tonne),922.954
2003,Bois,CONSOMMATION,Charbon de bois,Prix à la consommation,119
2003,Bois,CONSOMMATION,Bois de chauffe,Quantité (1000 X tonne),2984.461
2003,Bois,CONSOMMATION,Bois de chauffe,Prix à la consommation,43
2004,Bois,PRODUCTION,Bois de grume,Quantité (1000 X m3),1300
2004,Bois,PRODUCTION,Bois de grume transformé,Quantité (1000 X m3),779.081
2004,Bois,CONSOMMATION,Charbon de bois,Quantité (1000 X tonne),958.024
2004,Bois,CONSOMMATION,Charbon de bois,Prix à la consommation,110
2004,Bois,CONSOMMATION,Bois de chauffe,Quantité (1000 X tonne),3087.528
2004,Bois,CONSOMMATION,Bois de chauffe,Prix à la consommation,44
2005,Bois,PRODUCTION,Bois de grume,Quantité (1000 X m3),1347
2005,Bois,PRODUCTION,Bois de grume transformé,Quantité (1000 X m3),752.485
2005,Bois,CONSOMMATION,Charbon de bois,Quantité (1000 X tonne),994.630723276068
2005,Bois,CONSOMMATION,Charbon de bois,Prix à la consommation,109
2005,Bois,CONSOMMATION,Bois de chauffe,Quantité (1000 X tonne),3195.15627816737
2005,Bois,CONSOMMATION,Bois de chauffe,Prix à la consommation,49
2006,Bois,PRODUCTION,Bois de grume,Quantité (1000 X m3),1408.11554
2006,Bois,PRODUCTION,Bois de grume transformé,Quantité (1000 X m3),703.919
2006,Bois,CONSOMMATION,Charbon de bois,Quantité (1000 X tonne),1032.853
2006,Bois,CONSOMMATION,Charbon de bois,Prix à la consommation,108.653697
2006,Bois,CONSOMMATION,Bois de chauffe,Quantité (1000 X tonne),3307.595949
2006,Bois,CONSOMMATION,Bois de chauffe,Prix à la consommation,49.03
2007,Bois,PRODUCTION,Bois de grume,Quantité (1000 X m3),1468.958
2007,Bois,PRODUCTION,Bois de grume transformé,Quantité (1000 X m3),768.621
2007,Bois,CONSOMMATION,Charbon de bois,Quantité (1000 X tonne),1077.35879
2007,Bois,CONSOMMATION,Charbon de bois,Prix à la consommation,106
2007,Bois,CONSOMMATION,Bois de chauffe,Quantité (1000 X tonne),3543.91045
2007,Bois,CONSOMMATION,Bois de chauffe,Prix à la consommation,36
2008,Bois,PRODUCTION,Bois de grume,Quantité (1000 X m3),1409.487
2008,Bois,PRODUCTION,Bois de grume transformé,Quantité (1000 X m3),794.212
2008,Bois,CONSOMMATION,Charbon de bois,Quantité (1000 X tonne),1138.0202
2008,Bois,CONSOMMATION,Charbon de bois,Prix à la consommation,111
