Année,Catégorie,Sous-catégorie,Valeur
1970,Dette publique extérieure,Encours de la dette,103.25
1971,Dette publique extérieure,Encours de la dette,141.63
1972,Dette publique extérieure,Encours de la dette,146.14
1973,Dette publique extérieure,Encours de la dette,192.4
1974,Dette publique extérieure,Encours de la dette,256.65
1975,Dette publique extérieure,Encours de la dette,313.87
1976,Dette publique extérieure,Encours de la dette,436.75
1977,Dette publique extérieure,Encours de la dette,632.1
1978,Dette publique extérieure,Encours de la dette,865.61
1979,Dette publique extérieure,Encours de la dette,1015.14
1980,Dette publique extérieure,Encours de la dette,1576.66
1981,Dette publique extérieure,Encours de la dette,2212.12
1982,Dette publique extérieure,Encours de la dette,2944.77
1983,Dette publique extérieure,Encours de la dette,3375.65
1984,Dette publique extérieure,Encours de la dette,3734.19
1985,Dette publique extérieure,Encours de la dette,4339.45
1986,Dette publique extérieure,Encours de la dette,3965.14
1987,Dette publique extérieure,Encours de la dette,4080.41
1988,Dette publique extérieure,Encours de la dette,3973.97
1989,Dette publique extérieure,Encours de la dette,4727.91
1990,Dette publique extérieure,Encours de la dette,4696.88
1991,Dette publique extérieure,Encours de la dette,5127.02
1992,Dette publique extérieure,Encours de la dette,4909.11
1993,Dette publique extérieure,Encours de la dette,5400.16
1994,Dette publique extérieure,Encours de la dette,9657.88
1995,Dette publique extérieure,Encours de la dette,9433.17
1996,Dette publique extérieure,Encours de la dette,9987.36
1997,Dette publique extérieure,Encours de la dette,9110.31
1998,Dette publique extérieure,Encours de la dette,8761.85
1999,Dette publique extérieure,Encours de la dette,8108.75
2000,Dette publique extérieure,Encours de la dette,6347.4
2001,Dette publique extérieure,Encours de la dette,6158.26
2002,Dette publique extérieure,Encours de la dette,6155.9
2003,Dette publique extérieure,Encours de la dette,5486.4
2004,Dette publique extérieure,Encours de la dette,4976.3
2005,Dette publique extérieure,Encours de la dette,4667.4
2006,Dette publique extérieure,Encours de la dette,4472.6
2007,Dette publique extérieure,Encours de la dette,4099.36
2008,Dette publique extérieure,Encours de la dette,3977.41
2009,Dette publique extérieure,Encours de la dette,5338.19
2010,Dette publique extérieure,Encours de la dette,5611.13
2011,Dette publique extérieure,Encours de la dette,4907.989
2012,Dette publique extérieure,Encours de la dette,3884.973
2013,Dette publique extérieure,Encours de la dette,2605.422
2014,Dette publique extérieure,Encours de la dette,3308.666
2015,Dette publique extérieure,Encours de la dette,4489.097
2016,Dette publique extérieure,Encours de la dette,4974.158
2017,Dette publique extérieure,Encours de la dette,5770.013
2018,Dette publique extérieure,Encours de la dette,7613.379
1970,Dette publique extérieure,Dette publique bilaterale,35.69
1971,Dette publique extérieure,Dette publique bilaterale,43.25
1972,Dette publique extérieure,Dette publique bilaterale,43.84
1973,Dette publique extérieure,Dette publique bilaterale,44.28
1974,Dette publique extérieure,Dette publique bilaterale,53.91
1975,Dette publique extérieure,Dette publique bilaterale,52.58
1976,Dette publique extérieure,Dette publique bilaterale,68.15
1977,Dette publique extérieure,Dette publique bilaterale,101.14
1978,Dette publique extérieure,Dette publique bilaterale,119.16
1979,Dette publique extérieure,Dette publique bilaterale,154.38
1980,Dette publique extérieure,Dette publique bilaterale,153.01
1981,Dette publique extérieure,Dette publique bilaterale,179.74
1982,Dette publique extérieure,Dette publique bilaterale,228.63
1983,Dette publique extérieure,Dette publique bilaterale,282.75
1984,Dette publique extérieure,Dette publique bilaterale,418.64
1985,Dette publique extérieure,Dette publique bilaterale,631.71
1986,Dette publique extérieure,Dette publique bilaterale,618.13
1987,Dette publique extérieure,Dette publique bilaterale,761.13
1988,Dette publique extérieure,Dette publique bilaterale,760.04
1989,Dette publique extérieure,Dette publique bilaterale,958.44
1990,Dette publique extérieure,Dette publique bilaterale,1116.62
1991,Dette publique extérieure,Dette publique bilaterale,1310.54
1992,Dette publique extérieure,Dette publique bilaterale,1289.02
1993,Dette publique extérieure,Dette publique bilaterale,1428.43
1994,Dette publique extérieure,Dette publique bilaterale,2735.4
1995,Dette publique extérieure,Dette publique bilaterale,2653.88
1996,Dette publique extérieure,Dette publique bilaterale,2620.39
1997,Dette publique extérieure,Dette publique bilaterale,2687.64
1998,Dette publique extérieure,Dette publique bilaterale,2838.58
1999,Dette publique extérieure,Dette publique bilaterale,2529.03
2000,Dette publique extérieure,Dette publique bilaterale,2631.04
