ANNEE,PAYS,RUBRIQUE,DETAILS,TRAFIC ANNUEL (EN TONNE)
2007,BURKINA FASO,IMPORTATION,Riz,264364
2007,BURKINA FASO,IMPORTATION,Froment,29100
2007,BURKINA FASO,IMPORTATION,Autres céréales,9945
2007,BURKINA FASO,IMPORTATION,Farines,1514
2007,BURKINA FASO,IMPORTATION,"Produits laitiers, Œufs",73
2007,BURKINA FASO,IMPORTATION,Sel,8380
2007,BURKINA FASO,IMPORTATION,Engrais et Prod.ch.,65582
2007,BURKINA FASO,IMPORTATION,"Sucre vrac, Sac",16125
2007,BURKINA FASO,IMPORTATION,Autres marchandises,49320
2007,BURKINA FASO,EXPORTATION,Noix de Karité,8896
2007,BURKINA FASO,EXPORTATION,Sésame,399
2007,BURKINA FASO,EXPORTATION,Tourteaux,2679
2007,BURKINA FASO,EXPORTATION,Coton en fibres,57133
2007,BURKINA FASO,EXPORTATION,Autres marchandises,5368
2008,BURKINA FASO,IMPORTATION,Riz,148791
2008,BURKINA FASO,IMPORTATION,Froment,34659
2008,BURKINA FASO,IMPORTATION,Autres céréales,7272
2008,BURKINA FASO,IMPORTATION,Farines,506
2008,BURKINA FASO,IMPORTATION,"Produits laitiers, Œufs",70
2008,BURKINA FASO,IMPORTATION,Sel,4100
2008,BURKINA FASO,IMPORTATION,Engrais et Prod.ch.,2885
2008,BURKINA FASO,IMPORTATION,"Sucre vrac, Sac",0
2008,BURKINA FASO,IMPORTATION,Autres marchandises,83673
2008,BURKINA FASO,EXPORTATION,Noix de Karité,10828
2008,BURKINA FASO,EXPORTATION,Sésame,5515
2008,BURKINA FASO,EXPORTATION,Tourteaux,0
2008,BURKINA FASO,EXPORTATION,Coton en fibres,79893
2008,BURKINA FASO,EXPORTATION,Autres marchandises,6458
2009,BURKINA FASO,IMPORTATION,Riz,240807
2009,BURKINA FASO,IMPORTATION,Froment,43610
2009,BURKINA FASO,IMPORTATION,Autres céréales,7942
2009,BURKINA FASO,IMPORTATION,Farines,7205
2009,BURKINA FASO,IMPORTATION,"Produits laitiers, Œufs",3129
2009,BURKINA FASO,IMPORTATION,Sel,13152
2009,BURKINA FASO,IMPORTATION,Engrais et Prod.ch.,65303
2009,BURKINA FASO,IMPORTATION,"Sucre vrac, Sac",14345
2009,BURKINA FASO,IMPORTATION,Autres marchandises,86902
2009,BURKINA FASO,EXPORTATION,Noix de Karité,7673
2009,BURKINA FASO,EXPORTATION,Sésame,8944
2009,BURKINA FASO,EXPORTATION,Tourteaux,0
2009,BURKINA FASO,EXPORTATION,Coton en fibres,79381
2009,BURKINA FASO,EXPORTATION,Autres marchandises,10559
2010,BURKINA FASO,IMPORTATION,Riz,169579
2010,BURKINA FASO,IMPORTATION,Froment,42113
2010,BURKINA FASO,IMPORTATION,Autres céréales,8417
2010,BURKINA FASO,IMPORTATION,Farines,6514
2010,BURKINA FASO,IMPORTATION,"Produits laitiers, Œufs",2867
2010,BURKINA FASO,IMPORTATION,Sel,8778
2010,BURKINA FASO,IMPORTATION,Engrais et Prod.ch.,74131
2010,BURKINA FASO,IMPORTATION,"Sucre vrac, Sac",27587
2010,BURKINA FASO,IMPORTATION,Autres marchandises,101744
2010,BURKINA FASO,EXPORTATION,Noix de Karité,10412
2010,BURKINA FASO,EXPORTATION,Sésame,17721
2010,BURKINA FASO,EXPORTATION,Tourteaux,0
