Année,Catégorie,Effectif
2009,ECOLES,8852
2009,SALLES DE CLASSE ,47446
2009,GARÇONS,1186731
2009,FILLES,942388
2009,ENSEIGNANTS
2009,TABLES-BANCS
2009,ECOLES EN MILIEU RURAL,5840
2009,ECOLES AYANT UN POINT D'EAU
2009,ECOLES AYANT UNE CANTINE
2009,ECOLES AYANT L'ELECTRICITE
2009,ECOLES AYANT DES LATRINES
2009,NOMBRES DE LATRINES
2010,ECOLES
2010,SALLES DE CLASSE 
2010,GARÇONS
2010,FILLES
2010,ENSEIGNANTS
2010,TABLES-BANCS
2010,ECOLES EN MILIEU RURAL
2010,ECOLES AYANT UN POINT D'EAU
2010,ECOLES AYANT UNE CANTINE
2010,ECOLES AYANT L'ELECTRICITE
2010,ECOLES AYANT DES LATRINES
2010,NOMBRES DE LATRINES
2011,ECOLES,10123
2011,SALLES DE CLASSE ,54598
2011,GARÇONS,1303070
2011,FILLES,1066401
2011,ENSEIGNANTS
2011,TABLES-BANCS
2011,ECOLES EN MILIEU RURAL,6764
2011,ECOLES AYANT UN POINT D'EAU
2011,ECOLES AYANT UNE CANTINE
2011,ECOLES AYANT L'ELECTRICITE
2011,ECOLES AYANT DES LATRINES
2011,NOMBRES DE LATRINES
2012,ECOLES,10755
2012,SALLES DE CLASSE ,56450
2012,GARÇONS,1393045
2012,FILLES,1157697
2012,ENSEIGNANTS
2012,TABLES-BANCS
2012,ECOLES EN MILIEU RURAL,7272
2012,ECOLES AYANT UN POINT D'EAU
2012,ECOLES AYANT UNE CANTINE
2012,ECOLES AYANT L'ELECTRICITE
2012,ECOLES AYANT DES LATRINES
2012,NOMBRES DE LATRINES
2013,ECOLES,10691
2013,SALLES DE CLASSE ,58083
2013,GARÇONS,1399032
2013,FILLES,1186849
2013,ENSEIGNANTS
2013,TABLES-BANCS
2013,ECOLES EN MILIEU RURAL,7440
2013,ECOLES AYANT UN POINT D'EAU
2013,ECOLES AYANT UNE CANTINE
2013,ECOLES AYANT L'ELECTRICITE
2013,ECOLES AYANT DES LATRINES
2013,NOMBRES DE LATRINES
2014,ECOLES,11233
2014,SALLES DE CLASSE ,60906
2014,GARÇONS,1451437
2014,FILLES,1244960
2014,ENSEIGNANTS,61322
2014,TABLES-BANCS
2014,ECOLES EN MILIEU RURAL,7934
2014,ECOLES AYANT UN POINT D'EAU
2014,ECOLES AYANT UNE CANTINE
2014,ECOLES AYANT L'ELECTRICITE,970
2014,ECOLES AYANT DES LATRINES,1868
2014,NOMBRES DE LATRINES
2015,ECOLES,11869
2015,SALLES DE CLASSE ,62344
2015,GARÇONS,1516478
2015,FILLES,1323703
2015,ENSEIGNANTS,65305
2015,TABLES-BANCS
2015,ECOLES EN MILIEU RURAL,8350
2015,ECOLES AYANT UN POINT D'EAU,2794
2015,ECOLES AYANT UNE CANTINE,3864
2015,ECOLES AYANT L'ELECTRICITE,1026
2015,ECOLES AYANT DES LATRINES,2732
2015,NOMBRES DE LATRINES
2016,ECOLES,12537
2016,SALLES DE CLASSE ,68660
2016,GARÇONS,1622862
2016,FILLES,1441211
2016,ENSEIGNANTS,70324
2016,TABLES-BANCS
2016,ECOLES EN MILIEU RURAL,8780
2016,ECOLES AYANT UN POINT D'EAU,2471
2016,ECOLES AYANT UNE CANTINE,3721
2016,ECOLES AYANT L'ELECTRICITE,1012
2016,ECOLES AYANT DES LATRINES,2930
2016,NOMBRES DE LATRINES
2017,ECOLES,13195
2017,SALLES DE CLASSE ,74874
2017,GARÇONS,1665530
2017,FILLES,1503773
2017,ENSEIGNANTS,72748
2017,TABLES-BANCS
2017,ECOLES EN MILIEU RURAL,9405
2017,ECOLES AYANT UN POINT D'EAU,2941
2017,ECOLES AYANT UNE CANTINE,3955
2017,ECOLES AYANT L'ELECTRICITE,1142
2017,ECOLES AYANT DES LATRINES,4152
2017,NOMBRES DE LATRINES
2018,ECOLES,13784
2018,SALLES DE CLASSE ,77261
2018,GARÇONS,1698995
2018,FILLES,1556802
2018,ENSEIGNANTS,76401
2018,TABLES-BANCS
2018,ECOLES EN MILIEU RURAL,9814
2018,ECOLES AYANT UN POINT D'EAU,3050
2018,ECOLES AYANT UNE CANTINE,3927
2018,ECOLES AYANT L'ELECTRICITE,1980
2018,ECOLES AYANT DES LATRINES,4107
2018,NOMBRES DE LATRINES,21046
2019,ECOLES,14246
2019,SALLES DE CLASSE ,77629
2019,GARÇONS,1714215
2019,FILLES,1594452
2019,ENSEIGNANTS,78196
2019,TABLES-BANCS
2019,ECOLES EN MILIEU RURAL,9759
2019,ECOLES AYANT UN POINT D'EAU,2973
2019,ECOLES AYANT UNE CANTINE,3738
2019,ECOLES AYANT L'ELECTRICITE,1229
2019,ECOLES AYANT DES LATRINES,3780
2019,NOMBRES DE LATRINES,23828
2020,ECOLES,14613
2020,SALLES DE CLASSE ,78523
2020,GARÇONS,1727248
2020,FILLES,1609430
2020,ENSEIGNANTS,81424
2020,TABLES-BANCS
2020,ECOLES EN MILIEU RURAL,9969
2020,ECOLES AYANT UN POINT D'EAU,3354
2020,ECOLES AYANT UNE CANTINE,3787
2020,ECOLES AYANT L'ELECTRICITE,1828
2020,ECOLES AYANT DES LATRINES,4805
2020,NOMBRES DE LATRINES,25741
